train,station,time,day,weather,crowd
CSMT_FAST,Byculla,14:30,THURSDAY,RAIN,LOW
CSMT_FAST,Dadar,09:30,FRIDAY,CLEAR,HIGH
CSMT_SLOW,Kurla,08:15,TUESDAY,CLEAR,HIGH
CSMT_FAST,Dombivli,18:30,SATURDAY,CLEAR,HIGH
CSMT_SLOW,Vashi,16:45,THURSDAY,RAIN,HIGH
CSMT_FAST,Byculla,11:15,TUESDAY,RAIN,HIGH
CSMT_SLOW,CSMT,10:45,WEDNESDAY,CLOUDY,HIGH
CSMT_FAST,Kanjurmarg,10:30,WEDNESDAY,CLOUDY,HIGH
CSMT_SLOW,Ghatkopar,21:00,THURSDAY,CLOUDY,MEDIUM
CSMT_FAST,Virar,06:30,WEDNESDAY,CLEAR,MEDIUM
CSMT_SLOW,Kanjurmarg,19:00,FRIDAY,CLOUDY,HIGH
CSMT_FAST,Andheri,18:45,SATURDAY,CLOUDY,HIGH
CSMT_FAST,Mulund,21:45,FRIDAY,CLOUDY,MEDIUM
CSMT_FAST,Byculla,18:45,SUNDAY,CLOUDY,HIGH
CSMT_FAST,Bandra,20:45,MONDAY,CLOUDY,LOW
CSMT_FAST,Kurla,21:15,TUESDAY,RAIN,MEDIUM
CSMT_FAST,Bandra,06:45,TUESDAY,CLEAR,MEDIUM
CSMT_SLOW,Mulund,07:30,FRIDAY,CLEAR,HIGH
CSMT_SLOW,Virar,13:45,FRIDAY,CLEAR,MEDIUM
CSMT_FAST,Dadar,12:00,SUNDAY,CLEAR,LOW
CSMT_FAST,Bhandup,05:15,SUNDAY,CLOUDY,LOW
CSMT_SLOW,Nerul,15:15,THURSDAY,CLOUDY,MEDIUM
CSMT_FAST,Virar,20:00,SUNDAY,RAIN,LOW
CSMT_FAST,Mulund,13:15,MONDAY,CLEAR,HIGH
CSMT_SLOW,Kurla,09:00,SUNDAY,RAIN,HIGH
CSMT_FAST,Kalyan,22:30,WEDNESDAY,RAIN,MEDIUM
CSMT_SLOW,Panvel,12:00,THURSDAY,RAIN,HIGH
CSMT_SLOW,Kurla,09:00,SUNDAY,CLOUDY,HIGH
CSMT_FAST,Panvel,22:15,TUESDAY,RAIN,MEDIUM
CSMT_FAST,Bandra,19:45,MONDAY,CLEAR,HIGH
CSMT_FAST,Ghatkopar,10:00,TUESDAY,CLEAR,LOW
CSMT_FAST,Kalyan,12:45,SATURDAY,RAIN,LOW
CSMT_FAST,CSMT,23:45,TUESDAY,CLOUDY,LOW
